siteid,sitename,itemid,itemname,itemengname,itemunit,monitormonth,concentration
139,員林,143,小時風速值,WS_HR,m/sec,202503,
139,員林,38,相對濕度,RH,%,202503,
139,員林,33,細懸浮微粒,PM2.5,μg/m3,202503,19.2
139,員林,31,甲烷,CH4,ppm,202503,2.13
139,員林,14,溫度,AMB_TEMP,℃,202503,
139,員林,10,風速,WIND_SPEED,m/sec,202503,1.9
139,員林,9,非甲烷碳氫化合物,NMHC,ppm,202503,0.1
139,員林,8,總碳氫化物,THC,ppm,202503,2.24
139,員林,7,二氧化氮,NO2,ppb,202503,11
139,員林,6,一氧化氮,NO,ppb,202503,2.1
139,員林,5,氮氧化物,NOx,ppb,202503,13.3
139,員林,4,懸浮微粒,PM10,μg/m3,202503,33
139,員林,3,臭氧,O3,ppb,202503,33
139,員林,2,一氧化碳,CO,ppm,202503,0.31
139,員林,1,二氧化硫,SO2,ppb,202503,1.6
85,大城,143,小時風速值,WS_HR,m/sec,202503,3.1
85,大城,38,相對濕度,RH,%,202503,81
85,大城,33,細懸浮微粒,PM2.5,μg/m3,202503,18.1
85,大城,31,甲烷,CH4,ppm,202503,2.25
85,大城,14,溫度,AMB_TEMP,℃,202503,20
85,大城,10,風速,WIND_SPEED,m/sec,202503,3.4
85,大城,9,非甲烷碳氫化合物,NMHC,ppm,202503,0.02
85,大城,8,總碳氫化物,THC,ppm,202503,2.29
85,大城,7,二氧化氮,NO2,ppb,202503,6
85,大城,6,一氧化氮,NO,ppb,202503,1.4
85,大城,5,氮氧化物,NOx,ppb,202503,7.5
85,大城,4,懸浮微粒,PM10,μg/m3,202503,35
85,大城,3,臭氧,O3,ppb,202503,40
85,大城,2,一氧化碳,CO,ppm,202503,0.21
85,大城,1,二氧化硫,SO2,ppb,202503,1.3
84,富貴角,143,小時風速值,WS_HR,m/sec,202503,5.2
84,富貴角,38,相對濕度,RH,%,202503,83
84,富貴角,33,細懸浮微粒,PM2.5,μg/m3,202503,14.2
84,富貴角,31,甲烷,CH4,ppm,202503,2.02
84,富貴角,14,溫度,AMB_TEMP,℃,202503,17.2
84,富貴角,10,風速,WIND_SPEED,m/sec,202503,5.4
84,富貴角,9,非甲烷碳氫化合物,NMHC,ppm,202503,0.02
84,富貴角,8,總碳氫化物,THC,ppm,202503,2.04
