sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
基隆,基隆市,129,臭氧八小時,對敏感族群不健康,1.9,0.24,83,79,44,21,4,4.5,0.4,2,249,"2025/04/04 22:00:00",0.2,19,43,1,121.760056,25.129167,1
汐止,新北市,118,臭氧八小時,對敏感族群不健康,0.5,0.25,73,76,38,15,6,7.3,0.4,1.1,328,"2025/04/04 22:00:00",0.2,18.8,45,0,121.64081,25.06624,2
萬里,新北市,115,臭氧八小時,對敏感族群不健康,1,0.26,78,75,42,17,6,6.9,0.6,2.8,203,"2025/04/04 22:00:00",0.2,18.6,51,2,121.689881,25.179667,3
新店,新北市,122,臭氧八小時,對敏感族群不健康,0.5,0.25,76,77,33,13,3,4,0.1,3.9,141,"2025/04/04 22:00:00",0.2,17.7,43,0,121.537778,24.977222,4
土城,新北市,115,臭氧八小時,對敏感族群不健康,0.9,0.32,71,75,31,17,6,7.1,0.3,1.2,121,"2025/04/04 22:00:00",0.2,19.9,45,0,121.451861,24.982528,5
板橋,新北市,108,臭氧八小時,對敏感族群不健康,0.7,0.36,71,73,35,17,9,10.2,0.4,1.6,59,"2025/04/04 22:00:00",0.3,19.2,45,0,121.458667,25.012972,6
新莊,新北市,104,臭氧八小時,對敏感族群不健康,0.8,0.27,70,72,35,18,6,7,0.4,3,72,"2025/04/04 22:00:00",0.2,19.3,45,0,121.4325,25.037972,7
菜寮,新北市,112,臭氧八小時,對敏感族群不健康,0.9,0.32,72,74,36,18,8,9.3,1.1,2.5,80,"2025/04/04 22:00:00",0.3,20.9,44,0,121.481028,25.06895,8
林口,新北市,112,臭氧八小時,對敏感族群不健康,0.6,0.28,72,74,36,18,7,7.5,0.5,2.8,109,"2025/04/04 22:00:00",0.2,20.1,45,0,121.36548982,25.07798949,9
淡水,新北市,115,臭氧八小時,對敏感族群不健康,1.1,0.24,77,75,35,21,2,2.5,0.3,,,"2025/04/04 22:00:00",0.2,19.4,47,1,121.449239,25.1645,10
士林,臺北市,122,臭氧八小時,對敏感族群不健康,0.7,0.27,77,77,36,14,5,6.1,0.3,2,129,"2025/04/04 22:00:00",0.2,17,44,0,121.51666356,25.10334003,11
中山,臺北市,80,臭氧八小時,普通,0.9,0.34,68,64,41,21,11,12.8,1.1,2.8,64,"2025/04/04 22:00:00",0.3,21.9,48,0,121.526528,25.062361,12
萬華,臺北市,97,臭氧八小時,普通,0.8,0.31,66,69,40,19,13,13.4,0.2,2.3,86,"2025/04/04 22:00:00",0.3,19.5,44,0,121.507972,25.046503,13
古亭,臺北市,122,臭氧八小時,對敏感族群不健康,1.5,0.24,75,77,36,16,3,5.1,1.2,2.4,71,"2025/04/04 22:00:00",0.2,20.6,45,1,121.529556,25.020608,14
松山,臺北市,108,臭氧八小時,對敏感族群不健康,1.6,0.24,75,73,37,17,6,6.8,0.2,2.1,24,"2025/04/04 22:00:00",0.2,21.1,45,1,121.578611,25.05,15
大同,臺北市,78,細懸浮微粒,普通,2.4,0.53,48,47,44,21,28,33.8,5.5,-,-,"2025/04/04 22:00:00",0.6,22.2,46,2,121.51342074,25.06331455,16
桃園,桃園市,101,臭氧八小時,對敏感族群不健康,1.1,0.36,68,71,32,17,9,9.9,0.6,1.8,77,"2025/04/04 22:00:00",0.3,19,43,1,121.30500531,24.9947107,17
大園,桃園市,97,臭氧八小時,普通,4.2,0.3,66,69,36,19,10,9.9,0,4.6,114,"2025/04/04 22:00:00",0.2,19.1,46,2,121.20251473,25.06100357,18
觀音,桃園市,97,臭氧八小時,普通,0.4,0.28,65,69,39,21,6,6.8,0.3,3.2,118,"2025/04/04 22:00:00",0.2,24.5,49,1,121.08283092,25.03556747,19
平鎮,桃園市,90,臭氧八小時,普通,0.5,0.37,62,67,44,17,10,12,1.3,1.2,119,"2025/04/04 22:00:00",0.3,21.3,45,0,121.203986,24.952786,20
龍潭,桃園市,77,臭氧八小時,普通,1.3,0.38,56,63,46,19,12,12.9,0.4,1.3,135,"2025/04/04 22:00:00",0.3,20.8,50,1,121.21645772,24.86400048,21
湖口,新竹縣,104,臭氧八小時,對敏感族群不健康,1.6,0.38,53,72,47,25,11,12.2,0.7,2.3,104,"2025/04/04 22:00:00",0.3,26.5,53,1,121.03886894,24.90009696,22
竹東,新竹縣,91,細懸浮微粒,普通,1.5,0.38,44,67,50,30,8,9.6,0.7,2.1,109,"2025/04/04 22:00:00",0.3,27,51,1,121.08895493,24.74091408,23
新竹,新竹市,89,細懸浮微粒,普通,0.8,0.47,47,66,50,30,15,16.3,0.8,1,154,"2025/04/04 22:00:00",0.4,26.4,50,1,120.97236752,24.8056356,24
頭份,苗栗縣,97,臭氧八小時,普通,1.1,0.42,44,69,47,30,8,10.2,1.2,1.2,114,"2025/04/04 22:00:00",0.3,28.3,54,1,120.89869286,24.69690679,25
苗栗,苗栗縣,104,細懸浮微粒,對敏感族群不健康,1.9,0.47,40,64,60,34,13,15.4,1.6,1.3,158,"2025/04/04 22:00:00",0.3,31.7,54,2,120.82011468,24.56499183,26
三義,苗栗縣,87,細懸浮微粒,普通,0.6,0.28,52,64,47,19,3,4.9,1,1.8,201,"2025/04/04 22:00:00",0.3,25.5,50,1,120.75956754,24.38248443,27
豐原,臺中市,95,細懸浮微粒,普通,2.3,0.33,49,64,49,23,7,7.1,0.1,1.4,162,"2025/04/04 22:00:00",0.3,28.4,53,2,120.74252414,24.25699731,28
沙鹿,臺中市,97,細懸浮微粒,普通,1.1,0.5,59,61,72,30,13,14,0.6,1,179,"2025/04/04 22:00:00",0.4,29.4,68,2,120.568794,24.225628,29
大里,臺中市,92,細懸浮微粒,普通,0.8,0.49,23,53,51,26,20,22.1,1.1,0.6,117,"2025/04/04 22:00:00",0.3,27.5,59,1,120.67844444,24.09961111,30
忠明,臺中市,94,細懸浮微粒,普通,2.5,0.55,32,54,71,33,22,24.1,1.3,1.3,191,"2025/04/04 22:00:00",0.3,28.1,65,2,120.641092,24.151958,31
西屯,臺中市,93,細懸浮微粒,普通,2.5,0.42,47,61,65,32,13,14.2,1,2.2,211,"2025/04/04 22:00:00",0.3,27.7,68,2,120.616917,24.162197,32
彰化,彰化縣,91,細懸浮微粒,普通,2,0.43,36,58,70,34,12,13.5,1.2,0.6,201,"2025/04/04 22:00:00",0.3,27.2,59,1,120.541519,24.066,33
線西,彰化縣,136,臭氧八小時,對敏感族群不健康,1.6,0.28,67,81,73,29,4,5.5,0.5,0.3,245,"2025/04/04 22:00:00",0.3,25,60,2,120.469061,24.131672,34
二林,彰化縣,108,臭氧八小時,對敏感族群不健康,2.2,0.3,55,73,84,34,4,5.1,0.3,1.6,269,"2025/04/04 22:00:00",0.2,30.3,70,3,120.409653,23.925175,35
南投,南投縣,87,細懸浮微粒,普通,1.2,0.33,31,59,56,27,11,11.5,0.2,0.9,173,"2025/04/04 22:00:00",0.2,25.5,54,1,120.685306,23.913,36
斗六,雲林縣,90,臭氧八小時,普通,1.3,0.4,43,67,60,31,11,11,0,0.8,212,"2025/04/04 22:00:00",0.2,26.4,56,1,120.544994,23.711853,37
崙背,雲林縣,97,臭氧八小時,普通,0.8,0.25,53,69,48,27,3,4.1,0.4,0.2,258,"2025/04/04 22:00:00",0.2,28.7,71,1,120.348742,23.757547,38
新港,嘉義縣,87,臭氧八小時,普通,2.7,0.28,51,66,66,29,6,6.2,0,1.1,264,"2025/04/04 22:00:00",0.2,24.7,59,2,120.345531,23.554839,39
