sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
屏東(枋山),屏東縣,118,臭氧八小時,對敏感族群不健康,0.3,0.16,74,76,41,12,2,2,0,5.1,78,"2025-04-04 22:00",,0.1,14.7,47,0,120.651472,22.260899,313
臺南（南化）,臺南市,80,臭氧八小時,普通,0.2,0.21,44,64,40,21,3,3.5,0.2,2.6,328,"2025-04-04 22:00",,0.2,21,41,0,120.44583156,23.04562013,312
新北（樹林）,新北市,69,細懸浮微粒,普通,0.3,0.34,37,40,37,20,13,15.7,1.8,0,177,"2025-04-04 22:00",,0.3,19,43,0,121.38352778,24.94902778,311
台中市（和平區消防隊）,臺中市,84,臭氧八小時,普通,0.2,0.34,37,65,34,21,5,6.2,0.5,0.2,10,"2025-04-04 22:00",,0.4,23.8,41,0,120.883858,24.174592,310
屏東（琉球）,屏東縣,74,臭氧八小時,普通,0.8,0.21,66,62,42,20,3,4.6,0.7,1.8,70,"2025-04-04 22:00",,0.2,18.1,36,1,120.37722,22.35222,204
臺南（麻豆）,臺南市,87,臭氧八小時,普通,1.2,0.25,56,66,62,23,8,8.8,0.7,0.8,351,"2025-04-04 22:00",,0.2,21.5,57,1,120.24583056,23.17904722,203
高雄（湖內）,高雄市,78,懸浮微粒,普通,1.7,0.31,48,59,56,16,7,9.2,1.3,0.4,31,"2025-04-04 22:00",,0.2,16.9,55,1,120.24535,22.87985556,202
宜蘭（頭城）,宜蘭縣,129,臭氧八小時,對敏感族群不健康,0.6,0.22,76,79,50,14,2,2.4,0.3,2,209,"2025-04-04 22:00",,0.2,17.1,57,0,121.82463916,24.85366672,201
員林,彰化縣,101,細懸浮微粒,對敏感族群不健康,1.2,0.4,43,66,68,36,9,11,1.1,1.9,179,"2025-04-04 22:00",,0.3,30.6,66,1,120.5631893,23.9615945,139
大城,彰化縣,136,臭氧八小時,對敏感族群不健康,1,0.21,62,81,49,20,1,1.5,0.1,0.2,202,"2025-04-04 22:00",,0.2,22.7,48,1,120.26964167,23.85493056,85
富貴角,新北市,136,臭氧八小時,對敏感族群不健康,0.5,0.2,84,81,39,19,1,1.5,0,6.2,97,"2025-04-04 22:00",,0.2,22.6,44,0,121.53656894,25.29681695,84
麥寮,雲林縣,100,臭氧八小時,普通,1.2,0.34,49,70,79,33,8,9.5,0.8,1.2,206,"2025-04-04 22:00",,0.2,28,64,1,120.251825,23.753506,83
關山,臺東縣,97,臭氧八小時,普通,0.3,0.2,61,69,21,16,2,3.2,0.6,1.3,354,"2025-04-04 22:00",,0.2,15.5,34,0,121.161933,23.045083,80
馬公,澎湖縣,126,臭氧八小時,對敏感族群不健康,1.1,0.27,78,78,51,29,4,5,0.3,1.7,354,"2025-04-04 22:00",,0.2,24.3,50,1,119.566158,23.569031,78
金門,金門縣,126,臭氧八小時,對敏感族群不健康,2.5,0.38,69,78,72,42,8,8.4,0.3,1.3,32,"2025-04-04 22:00",,0.3,33.9,62,2,118.312256,24.432133,77
馬祖,連江縣,118,臭氧八小時,對敏感族群不健康,1,0.22,74,76,41,23,4,5.1,0.4,3.2,343,"2025-04-04 22:00",,0.2,21.6,45,1,119.952724,26.153736,75
埔里,南投縣,99,細懸浮微粒,普通,1.5,0.38,35,59,56,31,9,10.3,1,0.3,326,"2025-04-04 22:00",,0.3,30.2,54,1,120.967903,23.968842,72
復興,高雄市,73,細懸浮微粒,普通,0.8,0.37,56,60,55,22,11,11.8,0.6,1,72,"2025-04-04 22:00",,0.2,20.4,48,1,120.312017,22.608711,71
