重劃區名稱,地段,地號,面積,標售底價,標售總底價,得標單價,得標總價,開標日期,備註
第十一期安順二,新順,0886-0000,158.31,28700,4543497,46266,7324370,1993.03.09,原臺南市
第十一期安順二,新順,0918-0000,856.25,28700,24574375,50688,43401600,1993.03.09,原臺南市
第十一期安順二,新順,0949-0000,422.85,21100,8922135,36365,15376940,1993.03.09,原臺南市
第十一期安順二,新順,1037-0000,409.01,27200,11125072,49006,20043944,1993.03.09,原臺南市
第十一期安順二,新順,1050-0000,208.41,21100,4397451,38110,7942505,1993.03.09,原臺南市
第十一期安順二,新順,1070-0000,241.62,22600,5460612,44128,10662207,1993.03.09,原臺南市
第十一期安順二,新順,1103-0000,126.72,21100,2673792,34055,4315450,1993.03.09,原臺南市
第十一期安順二,新順,1161-0000,108.19,21100,2282809,36695,3970032,1993.03.09,原臺南市
第十一期安順二,新順,1165-0000,519.14,21100,10953854,45678,23713277,1993.03.09,原臺南市
第十一期安順二,新順,1170-0000,344.42,45300,15602226,81818,28179756,1993.03.09,原臺南市
第十一期安順二,新順,1175-0000,458.66,45300,20777298,81818,37526644,1993.03.09,原臺南市
第十一期安順二,新順,1188-0000,260.85,21100,5503935,37508,9783962,1993.03.09,原臺南市
第十一期安順二,新順,1240-0000,116.82,21100,2464902,24301,2838843,1993.03.09,原臺南市
第十一期安順二,新順,1270-0000,248.52,27200,6759744,52100,12947892,1993.03.09,原臺南市
第十一期安順二,新順,1293-0000,604.79,46800,28304172,79999,48382595,1993.03.09,原臺南市
第八期本淵寮,新淵,0016-0000,108.89,24000,2613360,36000,3920040,1993.08.11,原臺南市
第八期本淵寮,新淵,0019-0000,195.62,24000,4694880,31212,6105691,1993.08.11,原臺南市
第八期本淵寮,新淵,0021-0000,169.24,24000,4061760,27223,4607221,1993.08.11,原臺南市
第八期本淵寮,新淵,0023-0000,194.37,24000,4664880,37025,7196549,1993.08.11,原臺南市
第八期本淵寮,新淵,0024-0000,485.81,39000,18946590,68601,33327052,1993.08.11,原臺南市
第八期本淵寮,新淵,0054-0000,232.95,24000,5590800,30910,7200485,1993.08.11,原臺南市
第八期本淵寮,新淵,0092-0000,186.56,24000,4477440,27000,5037120,1993.08.11,原臺南市
第八期本淵寮,新淵,0100-0000,603.82,39000,23548980,41212,24884630,1993.08.11,原臺南市
第八期本淵寮,新淵,0130-0000,256.44,26000,6667440,43001,11027176,1993.08.11,原臺南市
第八期本淵寮,新淵,0133-0000,109.17,24000,2620080,39010,4258722,1993.08.11,原臺南市
第八期本淵寮,新淵,0145-0000,200.47,54000,10825380,63901,12810233,1993.08.11,原臺南市
第八期本淵寮,新淵,0149-0000,119.86,24000,2876640,36700,4398862,1993.08.11,原臺南市
第八期本淵寮,新淵,0173-0000,137.88,30000,4136400,39111,5392625,1993.08.11,原臺南市
第八期本淵寮,新淵,0252-0000,383.28,27000,10348560,27100,10386888,1993.08.11,原臺南市
第八期本淵寮,新淵,0291-0000,552.07,24000,13249680,39450,21779162,1993.08.11,原臺南市
第八期本淵寮,新淵,0359-0000,618.38,36000,22261680,55112,34080159,1993.08.11,原臺南市
第八期本淵寮,新淵,0398-0000,169.65,24000,4071600,24510,4158121,1993.08.11,原臺南市
第八期本淵寮,新淵,0399-0000,170.96,24000,4103040,24510,4190230,1993.08.11,原臺南市
第八期本淵寮,新淵,0439-0000,147.46,24000,3539040,30600,4512276,1993.08.11,原臺南市
第八期本淵寮,新淵,0495-0000,117.75,60000,7065000,85110,10021703,1993.08.11,原臺南市
第八期本淵寮,新淵,0518-0000,121.52,60000,7291200,85110,10342567,1993.08.11,原臺南市
第八期本淵寮,新淵,0536-0000,198.44,24000,4762560,27333,5423961,1993.08.11,原臺南市
第八期本淵寮,新淵,0600-0000,230.12,24000,5522880,34500,7939140,1993.08.11,原臺南市
