Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2025/3/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.591970067,3.108439188,3.962543014,5.769869908,5.614859828,3.822335117,5.300314058,6.287975361,3.375837491,3.259486423,3.704237753,6.592950502,2.190060661,1.036100803,-2.835502413,4.434688133,3.049046201,2.809909709,5.06749723,3.484346195,5.166892969,4.262449002,1.703280448,-1.223406551,4.005674214,0.184032701,-1.995948495,3.95889741,6.831286936,-1.002799697,-3.178166798,3.462029532,6.017816118,-0.951473042,-4.912624904,3.157279394,6.709461177
Africa Eastern and Southern,AFE,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,1.933946546,0.596607182,3.150052774,3.726977622,2.962826109,3.44451811,1.779384151,3.227094258,4.660692841,4.937523593,3.279353072,9.814576035,12.2244749,15.12834612,11.88443088,9.530632469,10.40810118,10.54028973,14.5712374,19.20529476,10.85848837,7.697471778,11.55684172,12.73475577,16.14433126,13.91657691,12.69406982,20.15260127,14.83928391,11.99390391,14.97893642,14.64065521,13.87050259,17.01641479,16.10271174,15.17618034,10.54504866,9.109172939,8.006813297,11.11730588,8.312825,8.914928257,7.806740873,9.60039256,7.623689359,7.652254305,8.245764766,10.96141241,8.281432391,5.883022035,9.745709985,6.203877876,5.546266987,5.403535383,5.636280102,6.73515766,6.286464671,4.321758678,4.444379465,5.298132261,6.222699123,9.358767324,7.801229891
Afghanistan,AFG,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.77453603,6.125522029,11.65523822,11.27143206,10.91277355,7.199751293,22.5277562,2.09628875,-2.163404427,3.814630315,16.59334674,7.301756468,4.822785479,0.566944543,2.447563001,-2.197526467,2.403656188,2.071348578,6.521479848,6.962946255,2.838996251,9.406239339,2.961653541
Africa Western and Central,AFW,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,3.278445998,2.485955507,2.781479146,3.381060581,2.405026088,4.138752531,1.227751834,1.627949335,4.213958542,3.350651761,4.189196488,5.145810769,7.618597935,13.42259052,8.586807531,11.31976433,10.87198799,6.616494663,10.76178867,11.00128112,10.01002094,13.82055905,9.927936399,11.31505004,5.297213506,0.326064113,2.35651164,3.692770552,3.500118758,4.822443156,3.312805754,0.482938222,2.80670799,24.79419525,7.396920689,6.186428099,2.96013877,5.309483069,4.501097309,4.815430262,3.861795193,2.673397387,1.718821632,5.681951339,6.688933949,4.64332214,5.477028982,9.116999673,1.489404692,5.429673192,8.516660481,4.730094836,1.554018049,0.73185333,1.911559416,1.736323129,1.75910578,2.150338933,1.956947281,1.715558462,4.64220371,6.587122568,3.386691138
Angola,AGO,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,-2.100306167,0,0.012763558,0.00118811,19.03520574,-9.01306192,9.82331135,2.213774449,16.27966269,14.00743983,106.3099823,476.5157509,917.7834684,2175.978955,1825.495149,4800.531644,95.45302218,39.35934833,557.5011131,418.0189915,106.3521255,196.9840994,93.92656691,33.44359479,42.37424926,17.11566514,4.308432212,19.36577356,-16.76214029,32.27046912,31.77146016,7.255749909,2.839724126,3.560884772,-3.518385346,21.77423559,22.61451403,28.16709326,19.18700383,10.76310528,38.82372184,13.71059402,17.61953772
Albania,ALB,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,-2.139571986,-0.0177191,-0.016755172,-0.028360258,0.351222348,-2.417300429,-0.000306093,-0.000578579,0.00367916,-0.431368813,35.51424696,232.9846589,125.6508142,35.84247521,9.970662679,38.1720582,11.23964448,6.730859905,2.102849989,5.647471468,3.810857374,3.647476271,5.198635303,3.152368925,3.306818147,2.478188887,4.386709383,4.117085426,2.418336059,4.4931432,2.314743797,1.042714606,0.288745964,1.54991707,0.56399135,-0.632653419,1.450731581,2.966523656,1.000590838,0.041064997,3.444398809,9.861574155,6.066049475
Andorra,AND,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,7.845870998,8.518077674,11.84943381,15.94520141,16.7817954,16.48985721,23.38309256,20.63104142,16.93168904,13.35481384,12.35117319,13.5823498,11.8842353,10.86473439,8.595463759,10.8788152,5.94419882,5.936124998,6.896207119,7.326243696,6.935148354,6.710768961,4.537232147,3.879858322,4.933121049,0.797177729,2.228160307,1.499553843,2.731979525,28.7415529,3.080535179,3.23953177,3.177484216,3.042423998,3.39610213,3.457184087,3.211227341,2.27433832,0.132136132,0.374313758,0.196764152,0.174556906,0.4484922,-0.084019317,0.660588959,0.347795382,1.136509343,1.01247848,1.374753508,1.113786074,2.558860694,4.236652265,6.295600824
Arab World,ARB,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,2.015374525,3.29617204,3.193901486,-0.440429933,2.751197621,2.389602195,2.754849221,1.064824146,3.910333738,7.357093556,3.142908593,15.24640813,34.60655056,5.599144133,8.629782186,10.37007718,4.160493274,19.27185582,24.15808159,10.24662911,6.365236978,6.887496961,6.180408569,4.232081886,2.96400555,9.368089891,4.1773253,7.976124846,12.74631772,7.44099981,5.716743759,3.863162918,7.602452252,7.767197743,6.657557531,2.757122249,-3.131088697,8.44337746,11.45953579,1.867699842,3.770839548,5.111829176,10.93754052,14.5852591,9.096506324,8.046585975,15.95012598,-2.780223039,12.0069507,13.16721938,4.679725118,1.260262483,1.048674638,-2.11493647,0.920589535,4.825946494,7.044671017,2.366231065,0.406043178,12.72087521,14.80980612,0.854841037
United Arab Emirates,ARE,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,7.10E-09,3.51E-09,54.25282699,138.2634926,19.000916,11.77433135,5.255756091,-3.661111495,7.051020545,9.515976035,7.054483982,1.312868729,-3.618017219,-6.097467186,0.74053289,-1.698485297,3.685584803,2.381045732,1.751276609,3.335900494,0.810848723,1.806826123,1.278036311,-0.262474925,3.907479758,5.773043899,-0.952300713,-4.254445315,8.44337746,11.45953579,-2.349307678,3.770839548,4.072406797,8.501422059,16.52630693,11.96214929,12.53396067,18.53335308,-15.18297989,16.52788636,13.16721938,4.679725118,-0.94932532,-0.668049356,-16.26700603,-5.529478605,4.986213141,7.936748035,-3.194409409,-12.03130529,13.84377034,12.62989369,-1.304200162
Argentina,ARG,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,20.31069753,28.87184165,25.59115435,28.77461732,21.23293493,25.60346243,29.01826294,10.27531056,7.795830034,6.467874639,31.27106388,64.24478591,65.53528737,30.63044137,197.6973645,438.3227797,159.4271777,161.372172,147.377044,95.79042461,105.2763664,194.5352997,380.1585285,611.1963039,607.4474978,77.29223669,127.5399181,381.2463444,3046.091152,2078.316818,140.5023787,16.07199354,-3.561095576,2.849339715,3.16512339,-0.052375497,-0.463913131,-1.705279624,-1.836558392,1.037287101,-1.095767718,30.55520405,10.49570302,18.36335425,10.3175112,13.74105249,14.93992502,23.17116498,15.37764937,20.91512427,23.70347218,22.31488067,23.94879842,40.28297163,26.5799916,41.11937999,26.00637928,42.03366896,49.19557906,40.0830878,53.80208777,69.87608425,135.3688763
